Code INS;Entités administratives;Langue;Code NIS;Administratieve eenheden;Taal;;;;;;;;;
71002;As;N;71002;As;N;;;;;;;;;
71004;Beringen;N;71004;Beringen;N;;;;;;;;;
71034;Bourg-Léopold;N;71034;Leopoldsburg;N;;;;;;;;;
71011;Diepenbeek;N;71011;Diepenbeek;N;;;;;;;;;
71016;Genk;N;71016;Genk;N;;;;;;;;;
71017;Gingelom;N;71017;Gingelom;N;;;;;;;;;
71020;Halen;N;71020;Halen;N;;;;;;;;;
71069;Ham;N;71069;Ham;N;;;;;;;;;
71022;Hasselt;N;71022;Hasselt;N;;;;;;;;;
71024;Herck-la-Ville;N;71024;Herk-de-Stad;N;;;;;;;;;
71070;Heusden-Zolder;N;71070;Heusden-Zolder;N;;;;;;;;;
71037;Lummen;N;71037;Lummen;N;;;;;;;;;
71045;Nieuwerkerken;N;71045;Nieuwerkerken;N;;;;;;;;;
71053;Saint-Trond;N;71053;Sint-Truiden;N;;;;;;;;;
71057;Tessenderlo;N;71057;Tessenderlo;N;;;;;;;;;
71066;Zonhoven;N;71066;Zonhoven;N;;;;;;;;;
71067;Zutendaal;N;71067;Zutendaal;N;;;;;;;;;
72000;Arrondissement de Maaseik;;72000;Arrondissement Maaseik;;;;;;;;;;
72003;Bocholt;N;72003;Bocholt;N;;;;;;;;;
72004;Bree;N;72004;Bree;N;;;;;;;;;
72041;Dilsen-Stokkem;N;72041;Dilsen-Stokkem;N;;;;;;;;;
72037;Hamont-Achel;N;72037;Hamont-Achel;N;;;;;;;;;
72038;Hechtel-Eksel;N;72038;Hechtel-Eksel;N;;;;;;;;;
72039;Houthalen-Helchteren;N;72039;Houthalen-Helchteren;N;;;;;;;;;
72018;Kinrooi;N;72018;Kinrooi;N;;;;;;;;;
72020;Lommel;N;72020;Lommel;N;;;;;;;;;
72021;Maaseik;N;72021;Maaseik;N;;;;;;;;;
72042;Oudsbergen;N;72042;Oudsbergen;N;;;;;;;;;
72030;Peer;N;72030;Peer;N;;;;;;;;;
72043;Pelt;N;72043;Pelt;N;;;;;;;;;
73000;Arrondissement de Tongres;;73000;Arrondissement Tongeren;;;;;;;;;;
73001;Alken;N;73001;Alken;N;;;;;;;;;
73006;Bilzen;N;73006;Bilzen;N;;;;;;;;;
73109;Fourons;N;73109;Voeren;N;;;;;;;;;
73022;Heers;N;73022;Heers;N;;;;;;;;;
73028;Herstappe;N;73028;Herstappe;N;;;;;;;;;
73032;Hoeselt;N;73032;Hoeselt;N;;;;;;;;;
73040;Kortessem;N;73040;Kortessem;N;;;;;;;;;
73042;Lanaken;N;73042;Lanaken;N;;;;;;;;;
73009;Looz;N;73009;Borgloon;N;;;;;;;;;
73107;Maasmechelen;N;73107;Maasmechelen;N;;;;;;;;;
73066;Riemst;N;73066;Riemst;N;;;;;;;;;
73083;Tongres;N;73083;Tongeren;N;;;;;;;;;
73098;Wellen;N;73098;Wellen;N;;;;;;;;;
03000;RÉGION WALLONNE;;03000;WAALS GEWEST;;;;;;;;;;
20002;Province du Brabant Wallon;;20002;Provincie Waals-Brabant;;;;;;;;;;
25000;Arrondissement de Nivelles;;25000;Arrondissement Nijvel;;;;;;;;;;
25005;Beauvechain;F;25005;Bevekom;F;;;;;;;;;
25014;Braine-l'Alleud;F;25014;Eigenbrakel;F;;;;;;;;;
25015;Braine-le-Château;F;25015;Kasteelbrakel;F;;;;;;;;;
25117;Chastre;F;25117;Chastre;F;;;;;;;;;
25018;Chaumont-Gistoux;F;25018;Chaumont-Gistoux;F;;;;;;;;;
25023;Court-Saint-Etienne;F;25023;Court-Saint-Etienne;F;;;;;;;;;
25031;Genappe;F;25031;Genepien;F;;;;;;;;;
25037;Grez-Doiceau;F;25037;Graven;F;;;;;;;;;
25118;Hélécine;F;25118;Hélécine;F;;;;;;;;;
25043;Incourt;F;25043;Incourt;F;;;;;;;;;
25044;Ittre;F;25044;Itter;F;;;;;;;;;
25048;Jodoigne;F;25048;Geldenaken;F;;;;;;;;;
25050;La Hulpe;F;25050;Terhulpen;F;;;;;;;;;
25119;Lasne;F;25119;Lasne;F;;;;;;;;;
25068;Mont-Saint-Guibert;F;25068;Mont-Saint-Guibert;F;;;;;;;;;
25072;Nivelles;F;25072;Nijvel;F;;;;;;;;;
25120;Orp-Jauche;F;25120;Orp-Jauche;F;;;;;;;;;
25121;Ottignies-Louvain-la-Neuve;F;25121;Ottignies-Louvain-la-Neuve;F;;;;;;;;;
25084;Perwez;F;25084;Perwijs;F;;;;;;;;;
25122;Ramillies;F;25122;Ramillies;F;;;;;;;;;
25123;Rebecq;F;25123;Rebecq;F;;;;;;;;;
25091;Rixensart;F;25091;Rixensart;F;;;;;;;;;
25105;Tubize;F;25105;Tubeke;F;;;;;;;;;
25107;Villers-la-Ville;F;25107;Villers-la-Ville;F;;;;;;;;;
25124;Walhain;F;25124;Walhain;F;;;;;;;;;
25110;Waterloo;F;25110;Waterloo;F;;;;;;;;;
25112;Wavre;F;25112;Waver;F;;;;;;;;;
50000;Province du Hainaut;;50000;Provincie Henegouwen;;;;;;;;;;
51000;Arrondissement d'Ath;;51000;Arrondissement Aat;;;;;;;;;;
51004;Ath;F;51004;Aat;F;;;;;;;;;
51008;Beloeil;F;51008;Beloeil;F;;;;;;;;;
51009;Bernissart;F;51009;Bernissart;F;;;;;;;;;
51012;Brugelette;F;51012;Brugelette;F;;;;;;;;;
51014;Chièvres;F;51014;Chièvres;F;;;;;;;;;
51017;Ellezelles;F;51017;Elzele;F;;;;;;;;;
51067;Enghien;F;51067;Edingen;F;;;;;;;;;
51019;Flobecq;F;51019;Vloesberg;F;;;;;;;;;
51065;Frasnes-lez-Anvaing;F;51065;Frasnes-lez-Anvaing;F;;;;;;;;;
51069;Lessines;F;51069;Lessen;F;;;;;;;;;
51068;Silly;F;51068;Opzullik;F;;;;;;;;;
52000;Arrondissement de Charleroi;;52000;Arrondissement Charleroi;;;;;;;;;;
52074;Aiseau-Presles;F;52074;Aiseau-Presles;F;;;;;;;;;
52010;Chapelle-lez-Herlaimont;F;52010;Chapelle-lez-Herlaimont;F;;;;;;;;;
52011;Charleroi;F;52011;Charleroi;F;;;;;;;;;
52012;Châtelet;F;52012;Châtelet;F;;;;;;;;;
